timestamp,batch_size,total_qps,chunks,final_chunk,window_avg_qps,rsd_pct,best_qps,min_chunk,max_chunk,target_rsd,adjust_up,adjust_down,window
2025-11-07 07:09:12,10000,896185.83,7,1000,2513155.39,14.55,3067484.66,1000,60000,8.00,0.15,0.30,6
2025-11-07 07:09:12,50000,903141.67,16,3215,2282792.12,20.29,2674041.93,1000,60000,8.00,0.15,0.30,6
2025-11-07 07:09:12,100000,860176.58,36,2660,2429536.47,24.79,2960405.81,1000,60000,8.00,0.15,0.30,6
